source_id,source_url,handle,title,title_normalized,brand_slug,brand_name,category,sku,short_description,description,image_main,image_gallery,source_price_ref_cents,in_stock,units_per_case,cases_per_pallet,case_order_step,minimum_cases,net_weight_g,storage_type,country_of_origin,needs_manual,last_import
683,https://mondialfood.fr/produit/frites-de-patates-douces-ja/,frites-de-patates-douces-ja,Frites de patates douces Ja,frites de patates douces ja,sans-marque,Sans marque,,,,,https://mondialfood.fr/wp-content/uploads/2025/01/5-1.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
681,https://mondialfood.fr/produit/steakhouse-frites-rewe/,steakhouse-frites-rewe,Steakhouse frites Rewe,steakhouse frites rewe,sans-marque,Sans marque,Frites,,,,https://mondialfood.fr/wp-content/uploads/2025/01/3-1.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
396,https://mondialfood.fr/produit/mangue-1-kg/,mangue-1-kg,Mangue 1 kg,mangue 1 kg,sans-marque,Sans marque,Desserts &amp; Fruits,,"Découvrez les délicieuses mangues Pulp Hub en format généreux de 1 kg ! Idéales pour préparer des smoothies, des desserts ou simplement pour une dégustation fraîche et sucrée, ces mangues sont juteuses, savoureuses et pleines de saveurs exotiques. Profitez d’un goût délicieux et d’une qualité…","Une expérience exotique avec les mangues Pulp Hub
<p>Les mangues Pulp Hub en format généreux de 1 kg offrent une savoureuse expérience exotique ! Parfaites pour réaliser des smoothies, des desserts ou tout simplement pour une dégustation rafraîchissante. Chaque bouchée est une explosion de saveurs exotiques, rendant vos préparations encore plus savoureuses. Profitez d’un fruit de qualité exceptionnelle pour des instants gourmands uniques.</p>
Un délice naturel <p>Les mangues Pulp Hub en format généreux de 1 kg sont idéales pour ravir les papilles des amateurs de fruits exotiques. Leur texture fondante et leur goût sucré subtil font d’elles un choix parfait pour des smoothies, des desserts ou une simple dégustation. Grâce à leur qualité exceptionnelle, chaque mangue offre une expérience naturelle et savoureuse, parfaite pour enrichir vos moments gourmands avec une touche d’exotisme.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/62.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
370,https://mondialfood.fr/produit/delicieuse-tarte-caramel-beurre-sale-almondy/,delicieuse-tarte-caramel-beurre-sale-almondy,Tarte Caramel Beurre Salé Almondy,tarte caramel beurre salé almondy,sans-marque,Sans marque,Almondy,,"La Tarte Caramel Beurre Salé Almondy est un véritable régal pour les amateurs de saveurs sucrées et salées. Son caramel au beurre salé, riche et onctueux, se marie parfaitement avec la pâte tendre et légèrement croquante. Ce dessert gourmand vous séduira dès la première bouchée. Facile à déguster,…","La Tarte Caramel Beurre Salé Almondy : Un délice sucré-salé
<p>La tarte caramel beurre salé Almondy réunit parfaitement douceur et intensité. Son caramel au beurre salé onctueux, légèrement salé, apporte plus de goût à ce dessert. La pâte légèrement croquante contraste merveilleusement avec le caramel, pour une saveur délicieusement différente. Ce dessert est idéal pour toutes les occasions, que ce soit pour finir un repas en beauté ou pour savourer un moment gourmand. Facile à partager et à déguster, il ravira tous les amateurs de sucré-salé.</p>
Un dessert irrésistible pour les gourmands
<p>Le mariage parfait du caramel au beurre salé et de la pâte délicate fait de ce dessert une véritable gourmandise. Que ce soit pour un goûter en famille, une pause sucrée entre amis ou pour conclure un dîner, cette tarte s’impose comme un choix incontournable. Sa texture fondante et croquante apporte un réconfort absolu. Facile à déguster et à partager, elle est idéale pour toutes les occasions. Commandez dès aujourd’hui et régalez-vous avec cette douceur exceptionnelle.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/Tarte-Caramel-Beurre-Sale-Almondy.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
369,https://mondialfood.fr/produit/craquante-tarte-toblerone-almondy/,craquante-tarte-toblerone-almondy,Tarte Toblerone Almondy,tarte toblerone almondy,sans-marque,Sans marque,Almondy,,"La Tarte Toblerone Almondy allie croquant et fondant. Son chocolat Toblerone, avec ses éclats de noisettes et son goût unique, se marie parfaitement à une texture fondante. Ce dessert gourmand plaît à toute la famille et s’adapte à toutes les occasions. Prête à être dégustée en un instant, elle…","Tarte Toblerone Almondy : un dessert irrésistible
<p>La Tarte Toblerone Almondy combine le délicieux chocolat Toblerone avec une texture fondante et croquante. Ses éclats de noisettes apportent un croquant unique qui se marie parfaitement avec le fondant du chocolat. Ce dessert est une véritable invitation à la gourmandise, idéal pour toute la famille. Que ce soit pour un goûter entre amis ou pour finir un repas sur une note sucrée, il fera toujours l’unanimité. Prête à déguster, elle se révèle être le choix parfait pour ceux qui cherchent un dessert simple, mais gourmand. </p>
Une touche de chocolat Toblerone pour tous les moments gourmands
<p>Le goût unique du chocolat Toblerone est au cœur de chaque bouchée. Sa texture croquante et fondante vous offre une expérience gustative incomparable. Ce dessert est parfait pour toutes les occasions : un goûter improvisé, un repas en famille ou une pause sucrée entre amis. Facile à partager, il devient rapidement un incontournable de vos moments gourmands. Son chocolat doux et ses éclats de noisettes apportent un véritable réconfort. Commandez maintenant et laissez-vous séduire par cette douceur irrésistible, idéale pour tous les amateurs de chocolat.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/Tarte-Toblerone-Almondy.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
368,https://mondialfood.fr/produit/lirresistible-tarte-milka-almondy/,lirresistible-tarte-milka-almondy,Tarte Milka Almondy,tarte milka almondy,sans-marque,Sans marque,Almondy,,"L&rsquo;irrésistible tarte Milka Almondy combine la douceur du chocolat Milka et un fondant qui fond en bouche, le tout accompagné d’une texture délicieusement croquante. Ce dessert généreux transforme vos goûters et fins de repas en un pur moment de plaisir. Facile à partager, mais tellement bon…","Tarte Milka Almondy : Le plaisir chocolaté par excellence
<p>La tarte Milka Almondy est un véritable régal pour tous les fans de chocolat. Avec sa douceur emblématique du chocolat au lait Milka et sa texture fondante légèrement croquante, ce dessert est une véritable invitation à la gourmandise. Parfaite pour les goûters en famille ou les moments conviviaux entre amis, elle s’impose comme une option irrésistible pour toutes les occasions. Prête en un instant, elle vous garantit un pur moment de plaisir à chaque bouchée.</p>
Un dessert généreux à partager&#8230; ou à garder pour soi
<p>La tarte Milka Almondy est un concentré de douceur et de générosité qui sait séduire dès la première part. Sa texture fondante et ses saveurs chocolatées sont un véritable régal pour les papilles. Pratique et rapide à préparer, elle est idéale pour les instants gourmands, qu’ils soient planifiés ou improvisés. Ce dessert devient vite un incontournable, que ce soit pour terminer un repas sur une note sucrée ou pour s’accorder une pause chocolatée. Facile à partager, mais tellement bonne qu’il est difficile de résister à l’envie de la garder pour soi ! À savourer sans modération.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/Tarte-Milka-Almondy.webp,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
367,https://mondialfood.fr/produit/tarte-daims-almondy/,tarte-daims-almondy,Tarte Daims Almondy,tarte daims almondy,sans-marque,Sans marque,Almondy,,"Savourez une tarte qui allie fondant et croquant à la perfection. Sous un nappage généreux de caramel, les éclats de Daims apportent une texture irrésistible et une touche gourmande unique. Un dessert parfait pour une pause sucrée ou pour conclure un repas en beauté ! Un classique incontournable,…","La tarte aux Daims Almondy : une douceur irrésistible à partager
<p>La tarte aux Daims Almondy est un délicieux mélange de fondant et de croquant. Son nappage au caramel et ses éclats de Daims se marient parfaitement, apportant une touche gourmande à chaque bouchée. Avec l’alliance du caramel doux et du chocolat croquant, elle propose un dessert à la fois savoureux et réconfortant. Parfaite pour toutes les occasions, elle s’invite facilement lors des repas partagés ou des moments conviviaux, devenant vite un incontournable pour les amateurs de douceurs.</p>
Un dessert simple à savourer, pour tous les gourmands
<p>Prête à déguster, la tarte aux Daims Almondy est l’option idéale pour ceux qui cherchent un dessert à la fois rapide et délicieux. Grâce à sa base légère et sa garniture généreuse, elle satisfait toutes les envies de sucré, sans besoin de préparation. En un clin d’œil, cette tarte se transforme en un moment de plaisir, que ce soit pour un goûter entre amis ou en famille, ou pour terminer un repas sur une note douce. Facile à partager, elle est l’alliée parfaite des pauses gourmandes et des moments de détente.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/72.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
167,https://mondialfood.fr/produit/persil-surgele-herbs-pret-a-lemploi/,persil-surgele-herbs-pret-a-lemploi,Persil surgelé Herbs / prêt à l’emploi,persil surgelé herbs / prêt à l’emploi,sans-marque,Sans marque,Légumes &amp; Accompagnements,,"Simplifiez-vous la vie avec ce persil surgelé de la marque Herbs. Prêt à l’emploi grâce à son conditionnement astucieux, ce persil est soigneusement sélectionné, lavé, émincé, puis surgelé pour préserver tous ses arômes. Plus besoin de botte de persil encombrante ou de découpe fastidieuse, il est…","Du persil surgelé pour une fraîcheur et un goût préservés
<p>Le persil surgelé se distingue par sa saveur herbacée et sa capacité à apporter une note de fraîcheur unique à vos recettes. Pratique, il élimine la contrainte de l’épluchage et de la découpe tout en garantissant un gain de temps précieux en cuisine. Son mode de conservation surgelée permet de disposer d’un persil de qualité optimale, même en dehors des périodes de récolte. Il conserve ses propriétés nutritives et son arôme intense pour rehausser vos plats avec simplicité.</p>
Une herbe aromatique pratique et indispensable
<p>Déjà prêt à l’emploi, le persil surgelé Herbs s’intègre aisément à toutes vos créations culinaires. Que ce soit pour agrémenter une omelette, sublimer un gratin ou parfumer une marinade, il s’adapte à toutes vos envies. Surgelé immédiatement après récolte, il conserve une texture légère et des arômes naturels intacts. Que vous cuisiniez un plat rapide ou élaboré, cette herbe aromatique vous offre un gain de temps tout en garantissant un résultat gourmand. Profitez d’un persil toujours frais, sans effort, pour sublimer vos recettes au quotidien.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/58.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
261,https://mondialfood.fr/produit/potato-rostis-belviva-600-g/,potato-rostis-belviva-600-g,Potato Rostis Belviva 600 G,potato rostis belviva 600 g,sans-marque,Sans marque,,,"Les Potato Rösti Belviva sont une délicieuse façon de savourer des pommes de terre croustillantes à l&rsquo;extérieur et fondantes à l&rsquo;intérieur. Faciles à préparer, elles sont idéales pour accompagner vos plats ou être dégustées seules pour un moment gourmand. Leur texture irrésistible et…","La simplicité d&rsquo;un repas délicieux
<p>Les Potato Rösti transforment un simple repas en un moment de pur plaisir. Leur texture croquante à l&rsquo;extérieur et moelleuse à l&rsquo;intérieur en fait un accompagnement idéal pour tous vos plats. Faciles à préparer, elles se cuisinent au four, à l’air fryer ou à la friteuse, pour s’adapter à vos envies et à votre emploi du temps. En quelques minutes, vous obtenez des rösti savoureux et généreux, parfaits pour toute la famille. </p>
Un accompagnement parfait avec les Potato Rösti Belviva
<p>Les Potato Rösti de la marque Belviva sont l’accompagnement parfait pour vos repas. Leur goût unique et leur texture combleront vos envies, que vous les serviez avec une viande, un poisson ou simplement seules. Cuites en quelques minutes au four, à l&rsquo;air fryer ou à la friteuse, elles sont faciles à préparer et se prêtent à tous les types de repas. Optez pour une solution rapide, délicieuse et pratique avec ces rösti qui plairont à toute la famille !</p>",https://mondialfood.fr/wp-content/uploads/2024/11/40.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
260,https://mondialfood.fr/produit/frites-zig-zag-600-g-belviva/,frites-zig-zag-600-g-belviva,Frites Zig Zag 600 G Belviva,frites zig zag 600 g belviva,sans-marque,Sans marque,Légumes &amp; Accompagnements,,"Les Frites Zig Zag Belviva sont à la fois délicieuses, pratiques et ludiques, idéales pour plaire aux enfants ! Leur forme originale en zig-zag rend chaque bouchée encore plus amusante, tout en offrant une texture croustillante à l’extérieur et moelleuse à l’intérieur. Faciles à préparer au four,…","Les Frites Zig Zag : un repas amusant pour les enfants
<p>Les frites Zig Zag Belviva sont parfaites pour apporter un peu de fun dans les repas des enfants. Leur forme originale en zig-zag les rend encore plus attrayantes, tout en offrant une texture croustillante à l’extérieur et moelleuse à l’intérieur. Faciles à préparer au four, à l’air fryer ou à la friteuse, elles cuisent rapidement et s’adaptent à tous les moments de la journée. Avec Belviva, vous offrez non seulement des frites délicieuses, mais aussi un repas pratique et ludique, pour un plaisir garanti qui plait à toute la famille.</p>
Un choix pratique et savoureux
<p>Ces frites sont idéales pour les familles à la recherche de praticité sans compromettre le goût. Leur forme zig-zag donne une touche originale à vos repas, tout en offrant un délicieux contraste de textures entre l&rsquo;extérieur croustillant et l&rsquo;intérieur moelleux. Préparez-les facilement au four, à l’air fryer ou à la friteuse pour un repas rapide et savoureux. Vous apprécierez la simplicité et la qualité de ce produit, pour un dîner sans tracas et toujours délicieux.</p>",https://mondialfood.fr/wp-content/uploads/2024/11/35.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
